"","id","full_name","name","intelligence","strength","speed","durability","power","combat","alignment","place_birth","race","gender","eye_color","hair_color","height_cm","weight_lb","affiliations","relatives","occupation","publisher","image_url","height_in","hair_group"
"11","11","Christoph Nord","Agent Zero",75,28,38,80,72,95,"good","Unrevealed location in former East Germany",NA,"Male",NA,NA,191,230,"Formerly Weapon X, Weapon Plus, Team X, Cell Six, former bodyguard of Psi-Borg, former agent of Major Barrington","Unidentified parents (deceased), Andreas Nord (brother, deceased), Ginetta Lucia Barsalini (wife, deceased), unnamed child (deceased)","Mercenary, former government operative, freedom fighter","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/396.jpg",75.196891,NA
"12","12","Gabriel Lan","Air-Walker",50,85,100,85,100,40,"bad","Xandar, a planet in the Tranta system, Andromeda galaxy",NA,"Male","Blue","White",188,240,"Former member of Nova Corps, Heralds of Galactus",NA,"Former starship captain, Herald of Galactus","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/1358.jpg",74.015788,"Fair"
"13","13","Francis","Ajax",56,48,35,80,34,55,"bad",NA,"Cyborg","Male","Brown","Black",193,200,"Formerly Weapon X",NA,NA,"Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/10422.jpg",75.984293,"Dark"
"14","14","Alan Ladd Wellington Scott","Alan Scott",63,80,23,90,100,32,"good","Gotham City",NA,"Male","Blue","Blond",180,201,"Justice Society of America; Formerly Checkmate; the Sentinels of Magic; Formerly All-Star Squadron","Harlequin (Molly Mayne-Scott) (wife), Thorn (Rose Canton) (first wife, deceased), Todd Rice (Obsidian, son), Jennie-Lynn Hayden (Jade, daughter, deceased)",NA,"DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/698.jpg",70.86618,"Fair"
"15","15","Alexander J. Mercer","Alex Mercer",50,80,42,90,100,50,"bad",NA,"Human","Male",NA,NA,0,NA,"Gentek, The Infected","Dana Mercer (sister)",NA,"Wildstorm","https://www.superherodb.com/pictures2/portraits/10/100/10398.jpg",0,NA
"16","16","Alex Woolsly","Alex Woolsly",NA,37,NA,NA,NA,NA,"good",NA,NA,"Male",NA,NA,0,NA,NA,"Mr. Woolsly, Mrs. Woolsly, sister","Employee at Sam's Comics","NBC - Heroes","https://www.superherodb.com/pictures2/portraits/10/100/1309.jpg",0,NA
"17","17","Alfred Thaddeus Crane Pennyworth","Alfred Pennyworth",63,10,17,10,7,55,"good",NA,"Human","Male","Blue","Black",178,160,"Batman Family, Outsiders","Jarvis Pennyworth (father, deceased), Wilfred Pennyworth (older brother), Daphne Pennyworth (niece); Bruce Wayne (Batman, legal ward)","Butler; Caretaker, former Actor; Field Medic; Government Agent","DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/628.jpg",70.078778,"Dark"
"18","18","Xenomorph","Alien",50,28,42,90,57,60,"bad","Your chest :)","Xenomorph XX121","Male",NA,"No Hair",244,375,NA,"Alien Queen (mother)",NA,"Dark Horse Comics","https://www.superherodb.com/pictures2/portraits/10/100/10449.jpg",96.063044,"None"
"19","19","","Allan Quatermain",NA,NA,NA,NA,NA,NA,"good",NA,NA,"Male",NA,NA,0,NA,"League of Extraordinary Gentlemen",NA,"(former) hunter; (current) agent of the British government","Wildstorm","https://www.superherodb.com/pictures2/portraits/10/100/630.jpg",0,NA
"20","20","","Amazo",63,100,83,100,100,100,"bad",NA,"Android","Male","Red",NA,257,385,"Formerly the Secret Society of Super Villains","Professor Ivo (creator), Kid Amazo (cyborg offspring)",NA,"DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/1390.jpg",101.181157,NA
"21","21","","Ammo",NA,NA,NA,NA,NA,NA,"bad",NA,"Human","Male","Brown","Black",188,225,"former leader of the Wildboys",NA,"Gang leader , criminal , former soldier","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/184.jpg",74.015788,"Dark"
"22","22","Ando Masahashi","Ando Masahashi",NA,NA,NA,NA,NA,NA,"good",NA,NA,"Male",NA,NA,0,NA,NA,NA,"Yamagato Industries computer programmer","NBC - Heroes","https://www.superherodb.com/pictures2/portraits/10/100/1310.jpg",0,NA
"23","23","Liam","Angel",75,30,58,90,100,75,"good",NA,"Vampire","Male",NA,NA,0,NA,NA,"Kathy (sister), Connor (son), Twilight (""child"")",NA,"Dark Horse Comics","https://www.superherodb.com/pictures2/portraits/10/100/10431.jpg",0,NA
"24","24","Warren Kenneth Worthington III","Angel",63,13,46,64,28,42,"good","Centerport, Long Island, New York",NA,"Male","Blue","Blond",183,150,"X-Men, Mutantes Sans Fronti�res, Hellfire Club; formerly Secret Defenders, X-Factor/X-Terminators, Horsemen of Apocalypse, Defenders, Death's champions, Champions of Los Angeles","Warren Kenneth Worthington Sr. (grandfather, deceased), Warren Kenneth Worthington Jr. (father, deceased), Kathryn Worthington (mother, deceased), Burtram ""Burt"" Worthington (Dazzler, paternal uncle), unnamed cousin","Adventurer, chairman & principal stockholder of Worthington Industries, former terrorist","Archangel","https://www.superherodb.com/pictures2/portraits/10/100/829.jpg",72.047283,"Fair"
"25","25","Christina","Angel Dust",38,55,23,42,17,30,"good",NA,"Mutant","Female","Yellow","Black",165,126,NA,NA,NA,"Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/10405.jpg",64.960665,"Dark"
"26","26","Angel Salvadore Bohusk","Angel Salvadore",38,10,28,28,56,60,"good",NA,NA,"Female","Brown","Black",163,121,"Formerly New Warriors; Special Class","Tito Bohusk (son); Axel Bohusk (son); Kara Bohusk (daughter); three other unidentified children;",NA,"Tempest","https://www.superherodb.com/pictures2/portraits/10/100/1406.jpg",64.173263,"Dark"
"27","27","","Angela",NA,97,NA,NA,NA,NA,"bad",NA,NA,"Female",NA,NA,0,NA,NA,NA,NA,"Image Comics","https://www.superherodb.com/pictures2/portraits/10/100/1070.jpg",0,NA
"28","28","Bernhard Baker","Animal Man",56,48,47,85,73,80,"good",NA,"Human","Male","Blue","Blond",183,185,"Formerly Animal Masters, Forgotten Heroes, Justice League of America, Justice League Europe","Ellen Frazier (wife), Cliff Baker (son), Maxine Baker (daughter), unnamed second daughter, Frank Baker, Jr. (father), Phyllis Baker (mother), unnamed sister, Frank, Sr (grandfather), Teddy (great grandfather), Sherman (great-great grandfather), Jack (great-great-great grandfather), Mary Frazier (mother-in-law), Dudley (uncle-in-law), Annie Cassidy (mother of second daughter), Lucy Cassidy (half-sister of second daughter)",NA,"DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/632.jpg",72.047283,"Fair"
"29","29","Annihilus","Annihilus",75,80,47,56,59,64,"bad","Planet of Arthros, Sector 17A, Negative Zone",NA,"Male","Green","No Hair",180,200,"Sometime ally of Blastaar","Annihilus is a series of clonal scions","Conqueror, scavenger","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/1307.jpg",70.86618,"None"
"30","30","Hank Pym","Ant-Man",100,18,23,28,32,32,"good","Elmsford, New York","Human","Male","Blue","Blond",211,270,"Avengers Academy, Secret Avengers; formerly Mighty Avengers, Avengers (founding member), Defenders, Future Iron Man's Team",NA,"Adventurer, Biochemist, former manager of Avengers Compound","Giant-Man","https://www.superherodb.com/pictures2/portraits/10/100/857.jpg",83.070911,"Fair"
"31","31","Scott Lang","Ant-Man II",75,18,17,40,53,30,"good","Coral Gables, Florida","Human","Male","Blue","Blond",183,190,"Ant-Man Security Solutions; formerly Future Foundation (leader), Fantastic Four (leader), Defenders, Avengers, Heroes For Hire, Stark Industries","Cassandra Eleanor Lang (daughter), Ruth (sister), Carl (brother-in-law), Peggy Rae (ex-wife)","Electronics Technician,","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/166.jpg",72.047283,"Fair"
"32","32","","Anti-Monitor",88,100,50,100,100,90,"bad","Moon of Qward","God / Eternal","Male","Yellow","No Hair",6100,NA,"Sinestro Corps, Weaponers of Qward, Thunderers of Qward, Shadow Demons","Monitor (""brother""), The Monitors",NA,"DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/1292.jpg",2401.5761,"None"
"33","33","Jason Wynn","Anti-Spawn",NA,58,NA,NA,NA,NA,"bad",NA,NA,"Male",NA,NA,0,NA,NA,NA,NA,"Image Comics","https://www.superherodb.com/pictures2/portraits/10/100/1071.jpg",0,NA
"34","34","Eddie Brock","Anti-Venom",75,60,65,90,96,84,NA,"San Francisco, California","Symbiote","Male","Blue","Blond",229,795,NA,"Carl Brock (father, estranged), Janine Brock (mother, deceased), Mary Brock (sister), Ann Weying (ex-wife, deceased), Symbiotes' relatives: Toxin Symbiote (current symbiote, former grandson), Venom Symbiote (former symbiote, grandfather, former brother), Agony, Phage, Riot, Lasher (uncles, former sons), Scorn (sister, former niece), Carnage (father, former son), Scream (aunt, former daughter, deceased), Hybrid (uncle, former son, deceased)","Vigilante; former journalist for the Daily Globe","Toxin","https://www.superherodb.com/pictures2/portraits/10/100/1485.jpg",90.157529,"Fair"
"35","35","En Sabah Nur","Apocalypse",100,100,33,100,100,60,"bad","Akkaba, Egypt","Mutant","Male","Red","Black",213,300,"Clan Akkaba, employer of Apocalypse's Horsemen, Dark Riders, former employer of the Alliance of Evil, 198","Baal of the Crimson Sands (adopted father, deceased)","Student; formerly Conqueror; Scientist","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/852.jpg",83.858313,"Dark"
"36","36","Arthur Curry, Jr.","Aquababy",10,16,12,14,37,14,"good",NA,NA,"Male","Blue","Blond",0,NA,"Aquaman Family","Aquaman (Orin/Arthur Curry) (father); Mera (mother); Koryak (half-brother); A.J. (half-brother); Atlan (grandfather); Tom Curry (adoptive grandfather, deceased); Orm Marius (uncle); Kordax (ancestor, deceased); Arthur Joseph Curry (adoptive cousin)",NA,"DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/1389.jpg",0,"Fair"
"37","37","Garth","Aqualad",63,44,42,75,89,60,"good","Poseidonis, Atlantis","Atlantean","Male","Blue","Black",178,235,"Aquaman Family; formerly Black Lantern Corps, Sentinels of Magic, Teen Titans","Cerdian (son), Dolphin (wife), Berra (mother), Thar (father), Slizzath (uncle) Donna (grand-daughter)","Adventurer; Magician, former Sidekick","DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/1395.jpg",70.078778,"Dark"
"38","38","Orin","Aquaman",81,85,79,80,100,80,"good","Atlantis","Atlantean","Male","Blue","Blond",185,325,"Justice League, Aquaman Family, Atlantean Royal Family; formerly Black Lantern Corps, Justice League International, Justice League Detroit, U.N.","Koryak (son), Arthur Curry, Jr. (son), A.J. (son), Orm Marius (half-brother), Debbie Perkins (half-sister), Drin (adopted brother), Atlanna (mother), Atlan (father), Atlena (aunt), Porm (adopted mother), Tom Curry (adopted father), Mera (wife), Hila (sister-in-law), Haumond (uncle), Kraken (uncle), Honsu (grandfather), Lorelei (grandmother), Manu (ancestor), Nala (ancestor), Fatima (ancestor), Kalunga (ancestor), Gana (ancestor), Fiona (ancestor), Regin (ancestor), Kordax (ancestor), Bazil (ancestor), Cora (ancestor), Illya (ancestor), Dardanus (ancestor), Alloroc (ancestor), Cole (ancestor), Narmea (ancestor), Orin (ancestor), Loma (ancestor), Shalako (ancestor), Thorvall (ancestor)","Protector of the Seas and Oceans, King of Poseidonis","DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/634.jpg",72.834685,"Fair"
"39","39","Julia Carpenter","Arachne",50,48,50,70,71,70,"good","Los Angeles, California","Human","Female","Blue","Blond",175,140,"Omega Flight, formerly Commission on Superhuman Activities , Freedom Force , Avengers , Secret Defenders , Force Works , Queen�s Vengeance , West Coast Avengers, Secret Avengers (Civil War)","Rachel Carpenter (daughter), Walter Cornwall (father), Elizabeth Cornwall (mother), Larry Carpenter (ex-husband, deceased)","Adventurer, fugitive, former government agent","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/882.jpg",68.897675,"Fair"
"40","40","Warren Kenneth Worthington III","Archangel",63,13,58,64,35,42,"good","Centerport, Long Island, New York","Mutant","Male","Blue","Blond",183,150,"X-Men (founding member); X-Force; Mutantes Sans Fronti�res; Hellfire Club; formerly X-Club (founding member); Death's champions; Secret Defenders; X-Factor/X-Terminators (founding member); Horsemen of Apocalypse; Defenders; Champions of Los Angeles (fou","Wallace Worthington (paternal ancestor, deceased), Warren Worthington Sr. (paternal grandfather, deceased), Warren Worthington Jr. (father, deceased), Kathryn Worthington (mother, deceased), Burt Worthington (paternal uncle), Mimi (maternal aunt), unnamed distant cousin","Adventurer, Chairman & principal stockholder of Worthington Industries, Multi-Millionaire, Heir, former terrorist","Angel","https://www.superherodb.com/pictures2/portraits/10/100/838.jpg",72.047283,"Fair"
"41","41","Philippa Sontag","Arclight",38,63,23,42,52,70,"bad","Vietnam",NA,"Female","Violet","Purple",173,126,"Marauders formerly, 198, Femizons",NA,"Terrorist","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/832.jpg",68.110273,"Alternative"
"42","42","Ardina","Ardina",63,100,100,80,100,25,"good",NA,"Alien","Female","White","Orange",193,218,NA,"Norrin Radd (Silver Surfer, clonal source), Clea (creator)",NA,"Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/10132.jpg",75.984293,NA
"43","43","","Ares",75,82,35,80,84,101,"good",NA,NA,"Male","Brown","Brown",185,600,"Avengers, Mighty Avengers, Olympic Pantheon; Warhawks","Zeus (father), Hera (mother), Enyo (wife), Deimos, Phobos, Alexander (sons), Neptune, Pluto (uncles), Demeter, Hestia (aunts), Hephaestus (brother), Apollo, Dionysus, Hercules, Hermes(half-brothers), Artemis, Pallas Athena, Venus, (half-sisters)",NA,"Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/1118.jpg",72.834685,"Dark"
"44","44","Ariel","Ariel",50,10,12,14,94,28,"good",NA,NA,"Female","Purple","Pink",165,130,"X-Men, Formerly Fallen Angels",NA,"Leader, refugee alien; former alien mutant-hunter and hedonist","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/1348.jpg",64.960665,"Alternative"
"45","45","Hisako Ichiki","Armor",50,63,12,80,55,54,"good",NA,NA,"Female","Black","Black",163,112,"X-Men, formerly: Xavier Institute Student Body, New X-Men",NA,"Adventurer, student","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/1347.jpg",64.173263,"Dark"
"46","46","Roy William Harper, Jr.","Arsenal",NA,54,NA,NA,NA,NA,"good",NA,"Human","Male",NA,NA,0,NA,NA,NA,NA,"Speedy","https://www.superherodb.com/pictures2/portraits/10/100/1014.jpg",0,NA
"47","47","Atom","Astro Boy",NA,90,NA,NA,NA,NA,"good",NA,NA,"Male","Brown","Black",0,NA,NA,NA,NA,NA,"https://www.superherodb.com/pictures2/portraits/10/100/1159.jpg",0,"Dark"
"48","48","Erik Josten","Atlas",63,80,25,100,98,50,"good","Milwaukee, Wisconsin","Mutant","Male","Brown","Red",183,225,"Thunderbolts, formerly Revengers, Defenders (New Jersey Initiative team), Masters of Evil, Maggia, Grim Reaper's Lethal Legion, Mandarin's Minions, Emissaries of Evil; former partner of Citizen V (Dallas Riordan) and Swordsman, Count Nefaria's Lethal Legi","Unidentified parents (deceased), Carl (brother, deceased), Conrad (brother), Lindy (sister, deceased)","Adventurer; former professional criminal, mercenary, dock worker, soldier","Goliath","https://www.superherodb.com/pictures2/portraits/10/100/878.jpg",72.047283,"Red"
"49","49","","Atlas",63,100,42,100,27,80,"bad","Crystal Mountain","God / Eternal","Male","Blue","Brown",198,280,NA,NA,NA,"DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/10838.jpg",77.952798,"Dark"
"50","50","Albert Pratt","Atom",NA,NA,NA,NA,NA,NA,"good",NA,NA,"Male","Blue","Red",178,150,"formerly Justice Society of America; formerly All-Star Squadron","Mary James (wife, deceased), Grant Albert Emerson (Damage, son), Albert Rothstein (aka Nuklon / Atom-Smasher, godson)","Adventurer, Retired Professor of Nuclear Physics","DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/934.jpg",70.078778,"Red"
"51","51","","Atom",NA,NA,NA,NA,NA,NA,"good",NA,NA,"Male",NA,NA,0,NA,NA,NA,NA,"DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/1379.jpg",0,NA
"52","52","Salu Digby","Atom Girl",38,10,23,28,38,42,"good",NA,NA,"Female","Black","Black",168,120,"Legion of Super-Heroes",NA,NA,"DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/1180.jpg",66.141768,"Dark"
"53","53","Ray Palmer","Atom II",88,10,33,45,40,60,"good",NA,"Human","Male","Brown","Auburn",183,180,"Justice League of America, formerly; Suicide Squad, Teen Titans","Jean Loring (ex-wife, deceased), Princess Laethwen (wife, deceased), Danny Palmer (brother, deceased), David Palmer (father), Susan Palmer (mother, deceased), David Palmer (uncle)","Physics Professor","DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/938.jpg",72.047283,"Red"
"54","54","Adam Cray","Atom III",NA,NA,NA,NA,NA,NA,"good",NA,NA,"Male",NA,"Red",0,NA,"Suicide Squad","Senator Cray (father, deceased)",NA,"DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/939.jpg",0,"Red"
"55","55","Ryan Choi","Atom IV",NA,NA,NA,NA,NA,NA,"good",NA,NA,"Male","Brown","Black",0,160,"Lighter Than Air Society","Professor Choi (father); mother (deceased); sister (unnamed); Jia Choi (descendent).","Professor of nuclear physics at Ivy University","DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/940.jpg",0,"Dark"
"56","56","Jeanne-Marie Beaubier","Aurora",63,10,96,60,74,56,"good","Montreal, Quebec, Canada","Mutant","Female","Blue","Black",180,140,"Alpha Flight, Alpha Flight (Space Program), Royal Canadian Mounted Police; formerly Weapon X, ally of the Havok's Brotherhood, Headbangers , Children of the Vault, X-Men (interim member)","Jean-Baptiste Beaubier (father, deceased), unidentified mother (deceased), Jean-Paul Beaubier (Northstar, twin brother) Joanna Beaubier (adopted niece, deceased); Lois and Genevieve Martin (first cousins once removed/adopted parents, deceased)","Adventurer; former terrorist, nun, history/geography teacher","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/1289.jpg",70.86618,"Dark"
"57","57","","Azazel",50,11,47,95,100,80,"bad","Isla des Demonas, Caribbean Sea","Neyaphem","Male","Yellow","Black",183,149,NA,"Kurt Wagner (Nightcrawler, son), Nils Styger (Abyss, son), Kiwi Black (son), numberous other offspring (deceased)","Leader of the Neyaphem","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/1481.jpg",72.047283,"Dark"
"58","58","Michael Washington Lane","Azrael",63,18,17,20,35,80,"good","Gotham City","Human","Male","Brown","Black",0,NA,"Order of St. Dumas; formerly Gotham City Police Department; Three Ghosts of Batman","Mitchell Lane (father; deceased), Barbara Lane (mother; deceased), Marion Lane (brother; deceased), Gwendolyn Lane (sister; deceased), Chante Coles (wife; deceased), Henry Mitchell Lane (son; deceased), Jenny Lane (Sister-in-law)","Former Police Officer, vigilante","DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/1532.jpg",0,"Dark"
"59","59","Aztar","Aztar",NA,98,NA,NA,NA,NA,"good",NA,NA,"Male",NA,NA,0,NA,"The Presence",NA,NA,"Spectre","https://www.superherodb.com/pictures2/portraits/10/100/1012.jpg",0,NA
"60","60","","Bane",88,38,23,56,51,95,"bad",NA,"Human","Male",NA,NA,203,400,"Suicide Squad, The Secret Society of Super Villains","King Snake (father)",NA,"DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/637.jpg",79.921303,NA
"61","61","Sean Cassidy","Banshee",50,10,58,40,63,70,"good","Cassidy Keep, Ireland","Human","Male","Green","Strawberry Blond",183,170,"Currently X-Corps, formerly Generation X, Factor Three, X-Men","Maeve Rourke Cassidy (wife, deceased), Thomas (Black Tom, cousin), Theresa Rourke (Siryn, daughter)","Currently founder and director of operation for X-Corps, formerly Adventurer and Headmaster at the Massachusetts Academy, in charge of Generation X, Interpol Inspector and Agent, freelance detective, professional criminal, involuntary operative for Factor","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/26.jpg",72.047283,"Fair"
"62","62","Roberto Velasquez","Bantam",25,53,23,54,21,56,"good",NA,NA,"Male","Brown","Black",165,119,"Captain America, Pro-Registration forces",NA,"Adventurer, boxing trainer, former boxer","Marvel Comics","https://www.superherodb.com/pictures2/portraits/10/100/229.jpg",64.960665,"Dark"
"63","63","Barbara Gordon","Batgirl",88,11,33,40,34,90,"good",NA,"Human","Female","Green","Red",170,126,NA,"James Gordon (father) � Barbara Eileen (mother) � James Gordon, Jr. (brother)",NA,"Oracle","https://www.superherodb.com/pictures2/portraits/10/100/1111.jpg",66.92917,"Red"
"64","64","Mary Elizabeth Kane","Batgirl",NA,27,NA,NA,NA,NA,"good",NA,NA,"Female",NA,NA,0,NA,"Former associated partner of Batman and Robin of Earth-One; Partner of Katherine Kane","Katherine Kane (Batwoman I,  Aunt)","Crime-fighter","Hawkfire","https://www.superherodb.com/pictures2/portraits/10/100/638.jpg",0,NA
"65","65","Helena Rosa Bertinelli","Batgirl III",NA,43,NA,NA,NA,NA,"good",NA,NA,"Female",NA,NA,0,NA,NA,NA,NA,"Huntress","https://www.superherodb.com/pictures2/portraits/10/100/1112.jpg",0,NA
"66","66","Cassandra Cain","Batgirl IV",69,12,27,56,46,100,"good","League of Assassins (exact base is unknown)","Human","Female","Green","Black",165,115,"Titans East, League of Assassins, Batman Family, Justice League Elite, Young Justice","David Cain (father), Lady Shiva (mother), Carolyn (aunt, deceased), Annalea (sibling, deceased), 'The Mad Dog' (sibling)",NA,"DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/1113.jpg",64.960665,"Dark"
"67","67","Charlotte Gage-Radcliffe","Batgirl V",NA,NA,NA,NA,NA,NA,"good",NA,NA,"Female",NA,NA,0,NA,NA,NA,NA,"Misfit","https://www.superherodb.com/pictures2/portraits/10/100/1115.jpg",0,NA
"68","68","Stephanie Brown","Batgirl VI",75,10,23,28,22,80,"good",NA,NA,"Female","Blue","Blond",168,135,"The Batman Family, formerly the Birds of Prey, Tim Drake (on-and-off boyfriend)","Arthur Brown (The Cluemaster, father), Crystal Brown (mother), unnamed daughter (given up for adoption)","College student at Gotham University","Spoiler","https://www.superherodb.com/pictures2/portraits/10/100/1398.jpg",66.141768,"Fair"
"69","69","Terry McGinnis","Batman",81,40,29,55,63,90,"good","Gotham City, 25th Century","Human","Male","Blue","Black",178,170,"Batman Family, Justice League Unlimited","Bruce Wayne (biological father), Warren McGinnis (father, deceased), Mary McGinnis (mother), Matt McGinnis (brother)",NA,"DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/10441.jpg",70.078778,"Dark"
"70","70","Bruce Wayne","Batman",100,26,27,50,47,100,"good","Crest Hill, Bristol Township; Gotham County","Human","Male","Blue","Black",188,210,"Batman Family, Batman Incorporated, Justice League, Outsiders, Wayne Enterprises, Club of Heroes, formerly White Lantern Corps, Sinestro Corps","Damian Wayne (son), Dick Grayson (adopted son), Tim Drake (adopted son), Jason Todd (adopted son), Cassandra Cain (adopted ward)
Martha Wayne (mother, deceased), Thomas Wayne (father, deceased), Alfred Pennyworth (former guardian), Roderick Kane (grandfather, deceased), Elizabeth Kane (grandmother, deceased), Nathan Kane (uncle, deceased), Simon Hurt (ancestor), Wayne Family","Businessman","DC Comics","https://www.superherodb.com/pictures2/portraits/10/100/639.jpg",74.015788,"Dark"
